Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: CIFAR
  Distribution: IID
  Number of Clients: 3
  Rounds: 20
  Local Epochs: 5
Files already downloaded and verified
Files already downloaded and verified

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 2, Epoch 4/5, Loss: 12.6049
Client 2, Epoch 5/5, Loss: 10.4420
Client 2 Accuracy (Round 7): 0.9997
Client 3, Epoch 1/5, Loss: 10.5209
Client 3, Epoch 2/5, Loss: 11.1971
Client 3, Epoch 3/5, Loss: 12.6805
Client 3, Epoch 4/5, Loss: 10.9967
Client 3, Epoch 5/5, Loss: 9.5561
Client 3 Accuracy (Round 7): 0.9999
Global Model, Round 7, Loss: 0.7563, Accuracy: 0.81

--- FedAvg: Round 8 ---
Client 1, Epoch 1/5, Loss: 10.1702
Client 1, Epoch 2/5, Loss: 10.1237
Client 1, Epoch 3/5, Loss: 8.7384
Client 1, Epoch 4/5, Loss: 9.3015
Client 1, Epoch 5/5, Loss: 8.8134
Client 1 Accuracy (Round 8): 0.9998
Client 2, Epoch 1/5, Loss: 9.5855
Client 2, Epoch 2/5, Loss: 8.4410
Client 2, Epoch 3/5, Loss: 8.1162
Client 2, Epoch 4/5, Loss: 9.2172
Client 2, Epoch 5/5, Loss: 7.8991
Client 2 Accuracy (Round 8): 1.0000
Client 3, Epoch 1/5, Loss: 9.0943
Client 3, Epoch 2/5, Loss: 8.9848
Client 3, Epoch 3/5, Loss: 10.1068
Client 3, Epoch 4/5, Loss: 11.5842
Client 3, Epoch 5/5, Loss: 9.8727
Client 3 Accuracy (Round 8): 0.9999
Global Model, Round 8, Loss: 0.7626, Accuracy: 0.81

--- FedAvg: Round 9 ---
Client 1, Epoch 1/5, Loss: 8.6643
Client 1, Epoch 2/5, Loss: 9.2369
Client 1, Epoch 3/5, Loss: 10.4254
Client 1, Epoch 4/5, Loss: 8.9282
Client 1, Epoch 5/5, Loss: 8.6061
Client 1 Accuracy (Round 9): 0.9993
Client 2, Epoch 1/5, Loss: 7.8409
Client 2, Epoch 2/5, Loss: 7.6739
Client 2, Epoch 3/5, Loss: 7.8479
Client 2, Epoch 4/5, Loss: 8.3956
Client 2, Epoch 5/5, Loss: 7.9056
Client 2 Accuracy (Round 9): 0.9999
Client 3, Epoch 1/5, Loss: 7.9578
Client 3, Epoch 2/5, Loss: 6.9723
Client 3, Epoch 3/5, Loss: 6.1029
Client 3, Epoch 4/5, Loss: 6.9972
Client 3, Epoch 5/5, Loss: 7.5586
Client 3 Accuracy (Round 9): 1.0000
Global Model, Round 9, Loss: 0.7757, Accuracy: 0.81

--- FedAvg: Round 10 ---
Client 1, Epoch 1/5, Loss: 6.3714
Client 1, Epoch 2/5, Loss: 7.0450
Client 1, Epoch 3/5, Loss: 5.0013
Client 1, Epoch 4/5, Loss: 7.0676
Client 1, Epoch 5/5, Loss: 6.2105
Client 1 Accuracy (Round 10): 0.9999
Client 2, Epoch 1/5, Loss: 6.9316
Client 2, Epoch 2/5, Loss: 7.6398
Client 2, Epoch 3/5, Loss: 5.9167
Client 2, Epoch 4/5, Loss: 6.3324
Client 2, Epoch 5/5, Loss: 4.8475
Client 2 Accuracy (Round 10): 0.9990
Client 3, Epoch 1/5, Loss: 6.8841
Client 3, Epoch 2/5, Loss: 5.9536
Client 3, Epoch 3/5, Loss: 5.2342
Client 3, Epoch 4/5, Loss: 5.4672
Client 3, Epoch 5/5, Loss: 6.2944
Client 3 Accuracy (Round 10): 0.9999
Global Model, Round 10, Loss: 0.8049, Accuracy: 0.81

--- FedAvg: Round 11 ---
Client 1, Epoch 1/5, Loss: 7.6590
Client 1, Epoch 2/5, Loss: 6.1853
Client 1, Epoch 3/5, Loss: 5.7562
Client 1, Epoch 4/5, Loss: 5.0175
Client 1, Epoch 5/5, Loss: 6.0861
Client 1 Accuracy (Round 11): 0.9999
Client 2, Epoch 1/5, Loss: 4.9918
Client 2, Epoch 2/5, Loss: 5.6293
Client 2, Epoch 3/5, Loss: 5.5412
Client 2, Epoch 4/5, Loss: 4.2318
Client 2, Epoch 5/5, Loss: 5.7563
Client 2 Accuracy (Round 11): 1.0000
Client 3, Epoch 1/5, Loss: 5.4743
Client 3, Epoch 2/5, Loss: 5.4823
Client 3, Epoch 3/5, Loss: 5.9864
Client 3, Epoch 4/5, Loss: 5.2306
Client 3, Epoch 5/5, Loss: 8.8855
Client 3 Accuracy (Round 11): 0.9995
Global Model, Round 11, Loss: 0.7672, Accuracy: 0.81

--- FedAvg: Round 12 ---
Client 1, Epoch 1/5, Loss: 5.5555
Client 1, Epoch 2/5, Loss: 5.6278
Client 1, Epoch 3/5, Loss: 5.3933
Client 1, Epoch 4/5, Loss: 5.3114
Client 1, Epoch 5/5, Loss: 4.4664
Client 1 Accuracy (Round 12): 1.0000
Client 2, Epoch 1/5, Loss: 5.8287
Client 2, Epoch 2/5, Loss: 7.0817
Client 2, Epoch 3/5, Loss: 5.1928
Client 2, Epoch 4/5, Loss: 5.0803
Client 2, Epoch 5/5, Loss: 4.0847
Client 2 Accuracy (Round 12): 0.9999
Client 3, Epoch 1/5, Loss: 5.7858
Client 3, Epoch 2/5, Loss: 5.9337
Client 3, Epoch 3/5, Loss: 4.0918
Client 3, Epoch 4/5, Loss: 4.8840
Client 3, Epoch 5/5, Loss: 5.5967
Client 3 Accuracy (Round 12): 0.9998
Global Model, Round 12, Loss: 0.7809, Accuracy: 0.81

--- FedAvg: Round 13 ---
Client 1, Epoch 1/5, Loss: 3.7906
Client 1, Epoch 2/5, Loss: 3.7659
Client 1, Epoch 3/5, Loss: 3.5148
Client 1, Epoch 4/5, Loss: 3.1181
Client 1, Epoch 5/5, Loss: 4.7576
Client 1 Accuracy (Round 13): 0.9999
Client 2, Epoch 1/5, Loss: 4.1051
Client 2, Epoch 2/5, Loss: 3.3195
Client 2, Epoch 3/5, Loss: 4.8270
Client 2, Epoch 4/5, Loss: 5.0310
Client 2, Epoch 5/5, Loss: 4.0534
Client 2 Accuracy (Round 13): 1.0000
Client 3, Epoch 1/5, Loss: 5.8417
Client 3, Epoch 2/5, Loss: 4.3491
Client 3, Epoch 3/5, Loss: 4.4036
Client 3, Epoch 4/5, Loss: 3.8903
Client 3, Epoch 5/5, Loss: 4.0535
Client 3 Accuracy (Round 13): 1.0000
Global Model, Round 13, Loss: 0.7709, Accuracy: 0.82

--- FedAvg: Round 14 ---
Client 1, Epoch 1/5, Loss: 3.5545
Client 1, Epoch 2/5, Loss: 3.6354
Client 1, Epoch 3/5, Loss: 2.8908
Client 1, Epoch 4/5, Loss: 3.0084
Client 1, Epoch 5/5, Loss: 3.1996
Client 1 Accuracy (Round 14): 1.0000
Client 2, Epoch 1/5, Loss: 3.9271
Client 2, Epoch 2/5, Loss: 5.1763
Client 2, Epoch 3/5, Loss: 4.5745
Client 2, Epoch 4/5, Loss: 4.6693
Client 2, Epoch 5/5, Loss: 3.7086
Client 2 Accuracy (Round 14): 0.9999
Client 3, Epoch 1/5, Loss: 5.3330
Client 3, Epoch 2/5, Loss: 3.9068
Client 3, Epoch 3/5, Loss: 4.8287
Client 3, Epoch 4/5, Loss: 3.6860
Client 3, Epoch 5/5, Loss: 4.4007
Client 3 Accuracy (Round 14): 1.0000
Global Model, Round 14, Loss: 0.8016, Accuracy: 0.81

--- FedAvg: Round 15 ---
Client 1, Epoch 1/5, Loss: 3.8892
Client 1, Epoch 2/5, Loss: 2.6137
Client 1, Epoch 3/5, Loss: 2.9050
Client 1, Epoch 4/5, Loss: 2.6370
Client 1, Epoch 5/5, Loss: 2.7594
Client 1 Accuracy (Round 15): 1.0000
Client 2, Epoch 1/5, Loss: 4.9556
Client 2, Epoch 2/5, Loss: 5.4241
Client 2, Epoch 3/5, Loss: 4.6469
Client 2, Epoch 4/5, Loss: 4.2312
Client 2, Epoch 5/5, Loss: 4.7838
Client 2 Accuracy (Round 15): 1.0000
Client 3, Epoch 1/5, Loss: 3.4878
Client 3, Epoch 2/5, Loss: 3.4981
Client 3, Epoch 3/5, Loss: 3.9946
Client 3, Epoch 4/5, Loss: 3.3805
Client 3, Epoch 5/5, Loss: 2.5655
Client 3 Accuracy (Round 15): 1.0000
Global Model, Round 15, Loss: 0.7962, Accuracy: 0.82

--- FedAvg: Round 16 ---
Client 1, Epoch 1/5, Loss: 3.8525
Client 1, Epoch 2/5, Loss: 3.1497
Client 1, Epoch 3/5, Loss: 3.2598
Client 1, Epoch 4/5, Loss: 3.5700
Client 1, Epoch 5/5, Loss: 3.8478
Client 1 Accuracy (Round 16): 1.0000
Client 2, Epoch 1/5, Loss: 3.8084
Client 2, Epoch 2/5, Loss: 3.3581
Client 2, Epoch 3/5, Loss: 2.4749
Client 2, Epoch 4/5, Loss: 3.3022
Client 2, Epoch 5/5, Loss: 2.8276
Client 2 Accuracy (Round 16): 0.9999
Client 3, Epoch 1/5, Loss: 1.8331
Client 3, Epoch 2/5, Loss: 2.0451
Client 3, Epoch 3/5, Loss: 2.0362
Client 3, Epoch 4/5, Loss: 2.7165
Client 3, Epoch 5/5, Loss: 2.6603
Client 3 Accuracy (Round 16): 0.9999
Global Model, Round 16, Loss: 0.7913, Accuracy: 0.82

--- FedAvg: Round 17 ---
Client 1, Epoch 1/5, Loss: 2.3350
Client 1, Epoch 2/5, Loss: 3.3051
Client 1, Epoch 3/5, Loss: 3.0408
Client 1, Epoch 4/5, Loss: 3.8735
Client 1, Epoch 5/5, Loss: 2.3704
Client 1 Accuracy (Round 17): 0.9999
Client 2, Epoch 1/5, Loss: 2.7955
Client 2, Epoch 2/5, Loss: 2.8673
Client 2, Epoch 3/5, Loss: 3.3783
Client 2, Epoch 4/5, Loss: 3.7023
Client 2, Epoch 5/5, Loss: 3.1412
Client 2 Accuracy (Round 17): 1.0000
Client 3, Epoch 1/5, Loss: 3.0634
Client 3, Epoch 2/5, Loss: 3.1106
Client 3, Epoch 3/5, Loss: 3.4819
Client 3, Epoch 4/5, Loss: 4.6049
Client 3, Epoch 5/5, Loss: 4.4358
Client 3 Accuracy (Round 17): 1.0000
Global Model, Round 17, Loss: 0.7917, Accuracy: 0.82

--- FedAvg: Round 18 ---
Client 1, Epoch 1/5, Loss: 3.3543
Client 1, Epoch 2/5, Loss: 3.5434
Client 1, Epoch 3/5, Loss: 2.8689
Client 1, Epoch 4/5, Loss: 2.9130
Client 1, Epoch 5/5, Loss: 2.2518
Client 1 Accuracy (Round 18): 1.0000
Client 2, Epoch 1/5, Loss: 2.1075
Client 2, Epoch 2/5, Loss: 1.7968
Client 2, Epoch 3/5, Loss: 1.6691
Client 2, Epoch 4/5, Loss: 2.4479
Client 2, Epoch 5/5, Loss: 2.2818
Client 2 Accuracy (Round 18): 1.0000
Client 3, Epoch 1/5, Loss: 3.7366
Client 3, Epoch 2/5, Loss: 3.6672
Client 3, Epoch 3/5, Loss: 4.7685
Client 3, Epoch 4/5, Loss: 2.8844
Client 3, Epoch 5/5, Loss: 2.5156
Client 3 Accuracy (Round 18): 1.0000
Global Model, Round 18, Loss: 0.8072, Accuracy: 0.82

--- FedAvg: Round 19 ---
Client 1, Epoch 1/5, Loss: 3.0703
Client 1, Epoch 2/5, Loss: 2.3851
Client 1, Epoch 3/5, Loss: 1.1216
Client 1, Epoch 4/5, Loss: 2.6588
Client 1, Epoch 5/5, Loss: 2.8661
Client 1 Accuracy (Round 19): 1.0000
Client 2, Epoch 1/5, Loss: 2.0095
Client 2, Epoch 2/5, Loss: 2.3940
Client 2, Epoch 3/5, Loss: 1.9944
Client 2, Epoch 4/5, Loss: 1.4202
Client 2, Epoch 5/5, Loss: 1.6910
Client 2 Accuracy (Round 19): 1.0000
Client 3, Epoch 1/5, Loss: 3.3624
Client 3, Epoch 2/5, Loss: 2.4940
Client 3, Epoch 3/5, Loss: 2.9388
Client 3, Epoch 4/5, Loss: 3.3704
Client 3, Epoch 5/5, Loss: 2.3082
Client 3 Accuracy (Round 19): 1.0000
Global Model, Round 19, Loss: 0.8366, Accuracy: 0.81

--- FedAvg: Round 20 ---
Client 1, Epoch 1/5, Loss: 3.4179
Client 1, Epoch 2/5, Loss: 2.2543
Client 1, Epoch 3/5, Loss: 3.0191
Client 1, Epoch 4/5, Loss: 2.8188
Client 1, Epoch 5/5, Loss: 3.1712
Client 1 Accuracy (Round 20): 1.0000
Client 2, Epoch 1/5, Loss: 1.8244
Client 2, Epoch 2/5, Loss: 1.4826
Client 2, Epoch 3/5, Loss: 2.5320
Client 2, Epoch 4/5, Loss: 2.9237
Client 2, Epoch 5/5, Loss: 2.8213
Client 2 Accuracy (Round 20): 1.0000
Client 3, Epoch 1/5, Loss: 2.1433
Client 3, Epoch 2/5, Loss: 1.9891
Client 3, Epoch 3/5, Loss: 3.0575
Client 3, Epoch 4/5, Loss: 2.1608
Client 3, Epoch 5/5, Loss: 2.4970
Client 3 Accuracy (Round 20): 0.9999
Global Model, Round 20, Loss: 0.8321, Accuracy: 0.81

Running fedavg for ResNet-50

--- FedAvg: Round 1 ---
Client 1, Epoch 1/5, Loss: 619.6008
Client 1, Epoch 2/5, Loss: 356.3894
Client 1, Epoch 3/5, Loss: 240.1760
Client 1, Epoch 4/5, Loss: 176.4214
Client 1, Epoch 5/5, Loss: 126.4313
Client 1 Accuracy (Round 1): 0.9752
Client 2, Epoch 1/5, Loss: 636.9480
Client 2, Epoch 2/5, Loss: 363.5068
Client 2, Epoch 3/5, Loss: 247.5839
Client 2, Epoch 4/5, Loss: 170.2833
Client 2, Epoch 5/5, Loss: 125.0574
Client 2 Accuracy (Round 1): 0.9728
Client 3, Epoch 1/5, Loss: 618.2791
Client 3, Epoch 2/5, Loss: 356.9830
Client 3, Epoch 3/5, Loss: 242.9199
Client 3, Epoch 4/5, Loss: 167.1548
Client 3, Epoch 5/5, Loss: 123.7385
Client 3 Accuracy (Round 1): 0.9741
Global Model, Round 1, Loss: 0.5800, Accuracy: 0.80

--- FedAvg: Round 2 ---
Client 1, Epoch 1/5, Loss: 96.4076
Client 1, Epoch 2/5, Loss: 69.6327
Client 1, Epoch 3/5, Loss: 59.0118
Client 1, Epoch 4/5, Loss: 51.7696
Client 1, Epoch 5/5, Loss: 43.3566
Client 1 Accuracy (Round 2): 0.9971
Client 2, Epoch 1/5, Loss: 95.0533
Client 2, Epoch 2/5, Loss: 75.1078
Client 2, Epoch 3/5, Loss: 57.4029
Client 2, Epoch 4/5, Loss: 51.2994
Client 2, Epoch 5/5, Loss: 46.2101
Client 2 Accuracy (Round 2): 0.9966
Client 3, Epoch 1/5, Loss: 93.0319
Client 3, Epoch 2/5, Loss: 76.5127
Client 3, Epoch 3/5, Loss: 62.6324
Client 3, Epoch 4/5, Loss: 46.7185
Client 3, Epoch 5/5, Loss: 39.2081
Client 3 Accuracy (Round 2): 0.9964
Global Model, Round 2, Loss: 0.5658, Accuracy: 0.82

--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 35.1113
Client 1, Epoch 2/5, Loss: 28.7979
Client 1, Epoch 3/5, Loss: 28.1695
Client 1, Epoch 4/5, Loss: 24.7408
Client 1, Epoch 5/5, Loss: 19.6793
Client 1 Accuracy (Round 3): 0.9980
Client 2, Epoch 1/5, Loss: 32.8997
Client 2, Epoch 2/5, Loss: 30.6764
Client 2, Epoch 3/5, Loss: 26.4488
Client 2, Epoch 4/5, Loss: 22.9919
Client 2, Epoch 5/5, Loss: 15.3005
Client 2 Accuracy (Round 3): 0.9986
Client 3, Epoch 1/5, Loss: 34.2274
Client 3, Epoch 2/5, Loss: 32.6643
Client 3, Epoch 3/5, Loss: 25.5838
Client 3, Epoch 4/5, Loss: 21.1495
Client 3, Epoch 5/5, Loss: 20.2641
Client 3 Accuracy (Round 3): 0.9990
Global Model, Round 3, Loss: 0.5497, Accuracy: 0.83

--- FedAvg: Round 4 ---
Client 1, Epoch 1/5, Loss: 21.3016
Client 1, Epoch 2/5, Loss: 18.6188
Client 1, Epoch 3/5, Loss: 15.4277
Client 1, Epoch 4/5, Loss: 15.0209
Client 1, Epoch 5/5, Loss: 12.3474
Client 1 Accuracy (Round 4): 0.9996
Client 2, Epoch 1/5, Loss: 17.4256
Client 2, Epoch 2/5, Loss: 16.9578
Client 2, Epoch 3/5, Loss: 17.6613
Client 2, Epoch 4/5, Loss: 14.3474
Client 2, Epoch 5/5, Loss: 11.8526
Client 2 Accuracy (Round 4): 0.9998
Client 3, Epoch 1/5, Loss: 20.4475
Client 3, Epoch 2/5, Loss: 18.0713
Client 3, Epoch 3/5, Loss: 14.7832
Client 3, Epoch 4/5, Loss: 10.9194
Client 3, Epoch 5/5, Loss: 10.1805
Client 3 Accuracy (Round 4): 0.9970
Global Model, Round 4, Loss: 0.5608, Accuracy: 0.83

--- FedAvg: Round 5 ---
Client 1, Epoch 1/5, Loss: 11.5167
Client 1, Epoch 2/5, Loss: 11.8148
Client 1, Epoch 3/5, Loss: 7.7638
Client 1, Epoch 4/5, Loss: 9.3651
Client 1, Epoch 5/5, Loss: 8.2707
Client 1 Accuracy (Round 5): 0.9998
Client 2, Epoch 1/5, Loss: 11.5027
Client 2, Epoch 2/5, Loss: 9.1258
Client 2, Epoch 3/5, Loss: 7.4453
Client 2, Epoch 4/5, Loss: 7.4196
Client 2, Epoch 5/5, Loss: 4.9108
Client 2 Accuracy (Round 5): 1.0000
Client 3, Epoch 1/5, Loss: 10.1796
Client 3, Epoch 2/5, Loss: 8.9003
Client 3, Epoch 3/5, Loss: 10.3549
Client 3, Epoch 4/5, Loss: 8.6153
Client 3, Epoch 5/5, Loss: 6.9345
Client 3 Accuracy (Round 5): 0.9999
Global Model, Round 5, Loss: 0.5678, Accuracy: 0.83

--- FedAvg: Round 6 ---
Client 1, Epoch 1/5, Loss: 6.1337
Client 1, Epoch 2/5, Loss: 7.7902
Client 1, Epoch 3/5, Loss: 7.1502
Client 1, Epoch 4/5, Loss: 8.4825
Client 1, Epoch 5/5, Loss: 7.1843
Client 1 Accuracy (Round 6): 0.9999
Client 2, Epoch 1/5, Loss: 8.0735
Client 2, Epoch 2/5, Loss: 5.9184
Client 2, Epoch 3/5, Loss: 6.0229
Client 2, Epoch 4/5, Loss: 7.0114
Client 2, Epoch 5/5, Loss: 5.4385
Client 2 Accuracy (Round 6): 0.9998
Client 3, Epoch 1/5, Loss: 5.0718
Client 3, Epoch 2/5, Loss: 7.3601
Client 3, Epoch 3/5, Loss: 6.9750
Client 3, Epoch 4/5, Loss: 8.8061
Client 3, Epoch 5/5, Loss: 5.5449
Client 3 Accuracy (Round 6): 0.9999
Global Model, Round 6, Loss: 0.5860, Accuracy: 0.82

--- FedAvg: Round 7 ---
Client 1, Epoch 1/5, Loss: 6.4717
Client 1, Epoch 2/5, Loss: 5.5367
Client 1, Epoch 3/5, Loss: 5.2918
Client 1, Epoch 4/5, Loss: 4.7740
Client 1, Epoch 5/5, Loss: 4.4374
Client 1 Accuracy (Round 7): 0.9999
Client 2, Epoch 1/5, Loss: 5.5399
Client 2, Epoch 2/5, Loss: 6.4940
Client 2, Epoch 3/5, Loss: 6.4840
