Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: FMNIST
  Distribution: non-IID
  Number of Clients: 3
  Rounds: 25
  Local Epochs: 5

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 2, Epoch 5/5, Loss: 0.0274
Client 2 Accuracy (Round 7): 1.0000
Client 3, Epoch 1/5, Loss: 1.0795
Client 3, Epoch 2/5, Loss: 1.6259
Client 3, Epoch 3/5, Loss: 1.4592
Client 3, Epoch 4/5, Loss: 1.7474
Client 3, Epoch 5/5, Loss: 0.6656
Client 3 Accuracy (Round 7): 0.9997
Global Model, Round 7, Loss: 1.8302, Accuracy: 0.35

--- FedAvg: Round 8 ---
Client 1, Epoch 1/5, Loss: 0.5052
Client 1, Epoch 2/5, Loss: 1.0282
Client 1, Epoch 3/5, Loss: 1.1513
Client 1, Epoch 4/5, Loss: 0.3722
Client 1, Epoch 5/5, Loss: 0.4201
Client 1 Accuracy (Round 8): 1.0000
Client 2, Epoch 1/5, Loss: 0.0496
Client 2, Epoch 2/5, Loss: 0.0206
Client 2, Epoch 3/5, Loss: 0.0230
Client 2, Epoch 4/5, Loss: 0.0172
Client 2, Epoch 5/5, Loss: 0.0145
Client 2 Accuracy (Round 8): 1.0000
Client 3, Epoch 1/5, Loss: 0.7872
Client 3, Epoch 2/5, Loss: 0.5719
Client 3, Epoch 3/5, Loss: 0.8857
Client 3, Epoch 4/5, Loss: 1.2114
Client 3, Epoch 5/5, Loss: 0.4603
Client 3 Accuracy (Round 8): 1.0000
Global Model, Round 8, Loss: 1.8232, Accuracy: 0.34

--- FedAvg: Round 9 ---
Client 1, Epoch 1/5, Loss: 0.1766
Client 1, Epoch 2/5, Loss: 0.2832
Client 1, Epoch 3/5, Loss: 0.2906
Client 1, Epoch 4/5, Loss: 1.1635
Client 1, Epoch 5/5, Loss: 0.6162
Client 1 Accuracy (Round 9): 1.0000
Client 2, Epoch 1/5, Loss: 0.0156
Client 2, Epoch 2/5, Loss: 0.0236
Client 2, Epoch 3/5, Loss: 0.0184
Client 2, Epoch 4/5, Loss: 0.0160
Client 2, Epoch 5/5, Loss: 0.0378
Client 2 Accuracy (Round 9): 1.0000
Client 3, Epoch 1/5, Loss: 2.0421
Client 3, Epoch 2/5, Loss: 1.3366
Client 3, Epoch 3/5, Loss: 1.4854
Client 3, Epoch 4/5, Loss: 0.3738
Client 3, Epoch 5/5, Loss: 1.2318
Client 3 Accuracy (Round 9): 0.9997
Global Model, Round 9, Loss: 1.8397, Accuracy: 0.35

--- FedAvg: Round 10 ---
Client 1, Epoch 1/5, Loss: 0.5206
Client 1, Epoch 2/5, Loss: 0.8257
Client 1, Epoch 3/5, Loss: 0.5049
Client 1, Epoch 4/5, Loss: 0.2962
Client 1, Epoch 5/5, Loss: 0.4088
Client 1 Accuracy (Round 10): 1.0000
Client 2, Epoch 1/5, Loss: 0.0201
Client 2, Epoch 2/5, Loss: 0.0216
Client 2, Epoch 3/5, Loss: 0.0128
Client 2, Epoch 4/5, Loss: 0.0194
Client 2, Epoch 5/5, Loss: 0.0177
Client 2 Accuracy (Round 10): 1.0000
Client 3, Epoch 1/5, Loss: 3.5093
Client 3, Epoch 2/5, Loss: 0.9854
Client 3, Epoch 3/5, Loss: 0.8452
Client 3, Epoch 4/5, Loss: 0.9876
Client 3, Epoch 5/5, Loss: 0.6779
Client 3 Accuracy (Round 10): 0.9998
Global Model, Round 10, Loss: 1.8335, Accuracy: 0.35

--- FedAvg: Round 11 ---
Client 1, Epoch 1/5, Loss: 0.3987
Client 1, Epoch 2/5, Loss: 0.3831
Client 1, Epoch 3/5, Loss: 0.0724
Client 1, Epoch 4/5, Loss: 0.2783
Client 1, Epoch 5/5, Loss: 0.1730
Client 1 Accuracy (Round 11): 0.9998
Client 2, Epoch 1/5, Loss: 0.0222
Client 2, Epoch 2/5, Loss: 0.0147
Client 2, Epoch 3/5, Loss: 0.0154
Client 2, Epoch 4/5, Loss: 0.0116
Client 2, Epoch 5/5, Loss: 0.0149
Client 2 Accuracy (Round 11): 1.0000
Client 3, Epoch 1/5, Loss: 0.3757
Client 3, Epoch 2/5, Loss: 0.3376
Client 3, Epoch 3/5, Loss: 0.1674
Client 3, Epoch 4/5, Loss: 0.1069
Client 3, Epoch 5/5, Loss: 0.1211
Client 3 Accuracy (Round 11): 1.0000
Global Model, Round 11, Loss: 1.8402, Accuracy: 0.33

--- FedAvg: Round 12 ---
Client 1, Epoch 1/5, Loss: 0.3257
Client 1, Epoch 2/5, Loss: 0.0921
Client 1, Epoch 3/5, Loss: 0.1266
Client 1, Epoch 4/5, Loss: 0.3128
Client 1, Epoch 5/5, Loss: 0.1860
Client 1 Accuracy (Round 12): 1.0000
Client 2, Epoch 1/5, Loss: 0.0362
Client 2, Epoch 2/5, Loss: 0.0129
Client 2, Epoch 3/5, Loss: 0.0187
Client 2, Epoch 4/5, Loss: 0.0102
Client 2, Epoch 5/5, Loss: 0.0172
Client 2 Accuracy (Round 12): 1.0000
Client 3, Epoch 1/5, Loss: 0.2980
Client 3, Epoch 2/5, Loss: 0.1804
Client 3, Epoch 3/5, Loss: 0.4872
Client 3, Epoch 4/5, Loss: 0.1591
Client 3, Epoch 5/5, Loss: 0.3975
Client 3 Accuracy (Round 12): 1.0000
Global Model, Round 12, Loss: 1.8510, Accuracy: 0.34

--- FedAvg: Round 13 ---
Client 1, Epoch 1/5, Loss: 0.1986
Client 1, Epoch 2/5, Loss: 0.7613
Client 1, Epoch 3/5, Loss: 0.5416
Client 1, Epoch 4/5, Loss: 0.4814
Client 1, Epoch 5/5, Loss: 0.2623
Client 1 Accuracy (Round 13): 1.0000
Client 2, Epoch 1/5, Loss: 0.0245
Client 2, Epoch 2/5, Loss: 0.0125
Client 2, Epoch 3/5, Loss: 0.0137
Client 2, Epoch 4/5, Loss: 0.0232
Client 2, Epoch 5/5, Loss: 0.0354
Client 2 Accuracy (Round 13): 1.0000
Client 3, Epoch 1/5, Loss: 0.8938
Client 3, Epoch 2/5, Loss: 0.7692
Client 3, Epoch 3/5, Loss: 0.1880
Client 3, Epoch 4/5, Loss: 0.2080
Client 3, Epoch 5/5, Loss: 1.2531
Client 3 Accuracy (Round 13): 0.9837
Global Model, Round 13, Loss: 1.8641, Accuracy: 0.31

--- FedAvg: Round 14 ---
Client 1, Epoch 1/5, Loss: 0.0421
Client 1, Epoch 2/5, Loss: 0.0832
Client 1, Epoch 3/5, Loss: 0.2183
Client 1, Epoch 4/5, Loss: 0.2381
Client 1, Epoch 5/5, Loss: 0.0617
Client 1 Accuracy (Round 14): 1.0000
Client 2, Epoch 1/5, Loss: 0.0100
Client 2, Epoch 2/5, Loss: 0.0147
Client 2, Epoch 3/5, Loss: 0.0159
Client 2, Epoch 4/5, Loss: 0.0094
Client 2, Epoch 5/5, Loss: 0.0098
Client 2 Accuracy (Round 14): 1.0000
Client 3, Epoch 1/5, Loss: 1.9330
Client 3, Epoch 2/5, Loss: 0.7822
Client 3, Epoch 3/5, Loss: 0.3468
Client 3, Epoch 4/5, Loss: 0.2805
Client 3, Epoch 5/5, Loss: 0.5377
Client 3 Accuracy (Round 14): 1.0000
Global Model, Round 14, Loss: 1.8687, Accuracy: 0.31

--- FedAvg: Round 15 ---
Client 1, Epoch 1/5, Loss: 0.0551
Client 1, Epoch 2/5, Loss: 0.0287
Client 1, Epoch 3/5, Loss: 0.0174
Client 1, Epoch 4/5, Loss: 0.0244
Client 1, Epoch 5/5, Loss: 0.0211
Client 1 Accuracy (Round 15): 1.0000
Client 2, Epoch 1/5, Loss: 0.0095
Client 2, Epoch 2/5, Loss: 0.5473
Client 2, Epoch 3/5, Loss: 0.0319
Client 2, Epoch 4/5, Loss: 0.0573
Client 2, Epoch 5/5, Loss: 0.0187
Client 2 Accuracy (Round 15): 1.0000
Client 3, Epoch 1/5, Loss: 0.0945
Client 3, Epoch 2/5, Loss: 0.1283
Client 3, Epoch 3/5, Loss: 0.4906
Client 3, Epoch 4/5, Loss: 0.7654
Client 3, Epoch 5/5, Loss: 0.3199
Client 3 Accuracy (Round 15): 1.0000
Global Model, Round 15, Loss: 1.8468, Accuracy: 0.35

--- FedAvg: Round 16 ---
Client 1, Epoch 1/5, Loss: 0.0204
Client 1, Epoch 2/5, Loss: 0.0203
Client 1, Epoch 3/5, Loss: 0.0134
Client 1, Epoch 4/5, Loss: 0.0290
Client 1, Epoch 5/5, Loss: 0.2866
Client 1 Accuracy (Round 16): 1.0000
Client 2, Epoch 1/5, Loss: 0.0333
Client 2, Epoch 2/5, Loss: 0.0275
Client 2, Epoch 3/5, Loss: 0.0305
Client 2, Epoch 4/5, Loss: 0.0962
Client 2, Epoch 5/5, Loss: 0.1648
Client 2 Accuracy (Round 16): 1.0000
Client 3, Epoch 1/5, Loss: 0.1469
Client 3, Epoch 2/5, Loss: 0.1394
Client 3, Epoch 3/5, Loss: 0.7425
Client 3, Epoch 4/5, Loss: 1.2273
Client 3, Epoch 5/5, Loss: 0.2825
Client 3 Accuracy (Round 16): 1.0000
Global Model, Round 16, Loss: 1.8532, Accuracy: 0.33

--- FedAvg: Round 17 ---
Client 1, Epoch 1/5, Loss: 0.0297
Client 1, Epoch 2/5, Loss: 0.0405
Client 1, Epoch 3/5, Loss: 0.0154
Client 1, Epoch 4/5, Loss: 0.0819
Client 1, Epoch 5/5, Loss: 0.0471
Client 1 Accuracy (Round 17): 1.0000
Client 2, Epoch 1/5, Loss: 0.0618
Client 2, Epoch 2/5, Loss: 0.0932
Client 2, Epoch 3/5, Loss: 0.0415
Client 2, Epoch 4/5, Loss: 0.0276
Client 2, Epoch 5/5, Loss: 0.0140
Client 2 Accuracy (Round 17): 1.0000
Client 3, Epoch 1/5, Loss: 0.3256
Client 3, Epoch 2/5, Loss: 0.5894
Client 3, Epoch 3/5, Loss: 0.2507
Client 3, Epoch 4/5, Loss: 3.0092
Client 3, Epoch 5/5, Loss: 0.6479
Client 3 Accuracy (Round 17): 0.9998
Global Model, Round 17, Loss: 1.8616, Accuracy: 0.32

--- FedAvg: Round 18 ---
Client 1, Epoch 1/5, Loss: 0.0420
Client 1, Epoch 2/5, Loss: 0.0331
Client 1, Epoch 3/5, Loss: 0.0125
Client 1, Epoch 4/5, Loss: 0.0124
Client 1, Epoch 5/5, Loss: 0.0209
Client 1 Accuracy (Round 18): 1.0000
Client 2, Epoch 1/5, Loss: 0.0191
Client 2, Epoch 2/5, Loss: 0.0102
Client 2, Epoch 3/5, Loss: 0.0248
Client 2, Epoch 4/5, Loss: 0.0233
Client 2, Epoch 5/5, Loss: 0.0204
Client 2 Accuracy (Round 18): 1.0000
Client 3, Epoch 1/5, Loss: 0.2286
Client 3, Epoch 2/5, Loss: 0.2837
Client 3, Epoch 3/5, Loss: 0.1055
Client 3, Epoch 4/5, Loss: 0.0564
Client 3, Epoch 5/5, Loss: 0.0766
Client 3 Accuracy (Round 18): 1.0000
Global Model, Round 18, Loss: 1.8493, Accuracy: 0.36

--- FedAvg: Round 19 ---
Client 1, Epoch 1/5, Loss: 0.1039
Client 1, Epoch 2/5, Loss: 0.0193
Client 1, Epoch 3/5, Loss: 0.0467
Client 1, Epoch 4/5, Loss: 0.0164
Client 1, Epoch 5/5, Loss: 0.0809
Client 1 Accuracy (Round 19): 1.0000
Client 2, Epoch 1/5, Loss: 0.0297
Client 2, Epoch 2/5, Loss: 0.0183
Client 2, Epoch 3/5, Loss: 0.0215
Client 2, Epoch 4/5, Loss: 0.0122
Client 2, Epoch 5/5, Loss: 0.0128
Client 2 Accuracy (Round 19): 1.0000
Client 3, Epoch 1/5, Loss: 2.4220
Client 3, Epoch 2/5, Loss: 3.9709
Client 3, Epoch 3/5, Loss: 0.2950
Client 3, Epoch 4/5, Loss: 0.2125
Client 3, Epoch 5/5, Loss: 0.2303
Client 3 Accuracy (Round 19): 1.0000
Global Model, Round 19, Loss: 1.8669, Accuracy: 0.33

--- FedAvg: Round 20 ---
Client 1, Epoch 1/5, Loss: 0.0571
Client 1, Epoch 2/5, Loss: 0.0182
Client 1, Epoch 3/5, Loss: 0.1759
Client 1, Epoch 4/5, Loss: 0.0228
Client 1, Epoch 5/5, Loss: 0.1586
Client 1 Accuracy (Round 20): 1.0000
Client 2, Epoch 1/5, Loss: 0.0095
Client 2, Epoch 2/5, Loss: 0.0112
Client 2, Epoch 3/5, Loss: 0.0175
Client 2, Epoch 4/5, Loss: 0.0089
Client 2, Epoch 5/5, Loss: 0.0105
Client 2 Accuracy (Round 20): 1.0000
Client 3, Epoch 1/5, Loss: 0.1126
Client 3, Epoch 2/5, Loss: 0.0958
Client 3, Epoch 3/5, Loss: 0.1074
Client 3, Epoch 4/5, Loss: 0.1168
Client 3, Epoch 5/5, Loss: 0.2882
Client 3 Accuracy (Round 20): 1.0000
Global Model, Round 20, Loss: 1.8501, Accuracy: 0.33

--- FedAvg: Round 21 ---
Client 1, Epoch 1/5, Loss: 0.0598
Client 1, Epoch 2/5, Loss: 0.0423
Client 1, Epoch 3/5, Loss: 0.8021
Client 1, Epoch 4/5, Loss: 0.1826
Client 1, Epoch 5/5, Loss: 0.3318
Client 1 Accuracy (Round 21): 1.0000
Client 2, Epoch 1/5, Loss: 0.0128
Client 2, Epoch 2/5, Loss: 0.0064
Client 2, Epoch 3/5, Loss: 0.0062
Client 2, Epoch 4/5, Loss: 0.0049
Client 2, Epoch 5/5, Loss: 0.0079
Client 2 Accuracy (Round 21): 1.0000
Client 3, Epoch 1/5, Loss: 0.1219
Client 3, Epoch 2/5, Loss: 0.0822
Client 3, Epoch 3/5, Loss: 0.2998
Client 3, Epoch 4/5, Loss: 0.4832
Client 3, Epoch 5/5, Loss: 0.4358
Client 3 Accuracy (Round 21): 0.9995
Global Model, Round 21, Loss: 1.8350, Accuracy: 0.33

--- FedAvg: Round 22 ---
Client 1, Epoch 1/5, Loss: 0.3951
Client 1, Epoch 2/5, Loss: 0.6080
Client 1, Epoch 3/5, Loss: 0.3186
Client 1, Epoch 4/5, Loss: 0.0322
Client 1, Epoch 5/5, Loss: 0.0662
Client 1 Accuracy (Round 22): 1.0000
Client 2, Epoch 1/5, Loss: 0.0102
Client 2, Epoch 2/5, Loss: 0.0070
Client 2, Epoch 3/5, Loss: 0.0360
Client 2, Epoch 4/5, Loss: 0.0087
Client 2, Epoch 5/5, Loss: 0.0131
Client 2 Accuracy (Round 22): 1.0000
Client 3, Epoch 1/5, Loss: 0.5507
Client 3, Epoch 2/5, Loss: 0.4894
Client 3, Epoch 3/5, Loss: 0.1368
Client 3, Epoch 4/5, Loss: 0.2171
Client 3, Epoch 5/5, Loss: 0.0669
Client 3 Accuracy (Round 22): 1.0000
Global Model, Round 22, Loss: 1.8490, Accuracy: 0.34

--- FedAvg: Round 23 ---
Client 1, Epoch 1/5, Loss: 0.0323
Client 1, Epoch 2/5, Loss: 0.0209
Client 1, Epoch 3/5, Loss: 0.0290
Client 1, Epoch 4/5, Loss: 0.0400
Client 1, Epoch 5/5, Loss: 0.0158
Client 1 Accuracy (Round 23): 1.0000
Client 2, Epoch 1/5, Loss: 0.0153
Client 2, Epoch 2/5, Loss: 0.0077
Client 2, Epoch 3/5, Loss: 0.0183
Client 2, Epoch 4/5, Loss: 0.0085
Client 2, Epoch 5/5, Loss: 0.0049
Client 2 Accuracy (Round 23): 1.0000
Client 3, Epoch 1/5, Loss: 0.1202
Client 3, Epoch 2/5, Loss: 0.2189
Client 3, Epoch 3/5, Loss: 0.2440
Client 3, Epoch 4/5, Loss: 0.0470
Client 3, Epoch 5/5, Loss: 0.0320
Client 3 Accuracy (Round 23): 1.0000
Global Model, Round 23, Loss: 1.8652, Accuracy: 0.31

--- FedAvg: Round 24 ---
Client 1, Epoch 1/5, Loss: 0.0124
Client 1, Epoch 2/5, Loss: 0.0363
Client 1, Epoch 3/5, Loss: 0.0182
Client 1, Epoch 4/5, Loss: 0.0443
Client 1, Epoch 5/5, Loss: 0.0104
Client 1 Accuracy (Round 24): 1.0000
Client 2, Epoch 1/5, Loss: 0.0078
Client 2, Epoch 2/5, Loss: 0.0064
Client 2, Epoch 3/5, Loss: 0.0061
Client 2, Epoch 4/5, Loss: 0.0076
Client 2, Epoch 5/5, Loss: 0.0094
Client 2 Accuracy (Round 24): 1.0000
Client 3, Epoch 1/5, Loss: 0.0456
Client 3, Epoch 2/5, Loss: 0.0506
Client 3, Epoch 3/5, Loss: 0.0500
Client 3, Epoch 4/5, Loss: 0.1818
Client 3, Epoch 5/5, Loss: 0.0170
Client 3 Accuracy (Round 24): 1.0000
Global Model, Round 24, Loss: 1.8533, Accuracy: 0.33

--- FedAvg: Round 25 ---
Client 1, Epoch 1/5, Loss: 0.0158
Client 1, Epoch 2/5, Loss: 0.0107
Client 1, Epoch 3/5, Loss: 0.0092
Client 1, Epoch 4/5, Loss: 0.1369
Client 1, Epoch 5/5, Loss: 0.3123
Client 1 Accuracy (Round 25): 1.0000
Client 2, Epoch 1/5, Loss: 0.0085
Client 2, Epoch 2/5, Loss: 0.1388
Client 2, Epoch 3/5, Loss: 0.0066
Client 2, Epoch 4/5, Loss: 0.0060
Client 2, Epoch 5/5, Loss: 0.0082
Client 2 Accuracy (Round 25): 1.0000
Client 3, Epoch 1/5, Loss: 0.3585
Client 3, Epoch 2/5, Loss: 1.3659
Client 3, Epoch 3/5, Loss: 0.0846
Client 3, Epoch 4/5, Loss: 0.1975
Client 3, Epoch 5/5, Loss: 0.4352
Client 3 Accuracy (Round 25): 0.9998
Global Model, Round 25, Loss: 1.8501, Accuracy: 0.34

Running fedavg for ResNet-50

--- FedAvg: Round 1 ---
Client 1, Epoch 1/5, Loss: 38.8284
Client 1, Epoch 2/5, Loss: 17.0862
Client 1, Epoch 3/5, Loss: 12.0883
Client 1, Epoch 4/5, Loss: 9.4005
Client 1, Epoch 5/5, Loss: 8.0628
Client 1 Accuracy (Round 1): 0.9955
Client 2, Epoch 1/5, Loss: 25.4277
Client 2, Epoch 2/5, Loss: 4.5613
Client 2, Epoch 3/5, Loss: 2.2709
Client 2, Epoch 4/5, Loss: 1.5212
Client 2, Epoch 5/5, Loss: 0.8830
Client 2 Accuracy (Round 1): 1.0000
Client 3, Epoch 1/5, Loss: 65.4568
Client 3, Epoch 2/5, Loss: 32.8954
Client 3, Epoch 3/5, Loss: 26.2569
Client 3, Epoch 4/5, Loss: 17.4394
Client 3, Epoch 5/5, Loss: 15.4200
Client 3 Accuracy (Round 1): 0.9918
Global Model, Round 1, Loss: 1.8558, Accuracy: 0.41

--- FedAvg: Round 2 ---
Client 1, Epoch 1/5, Loss: 6.9610
Client 1, Epoch 2/5, Loss: 4.5126
Client 1, Epoch 3/5, Loss: 3.6477
Client 1, Epoch 4/5, Loss: 2.1714
Client 1, Epoch 5/5, Loss: 2.0851
Client 1 Accuracy (Round 2): 0.9978
Client 2, Epoch 1/5, Loss: 0.4601
Client 2, Epoch 2/5, Loss: 0.6718
Client 2, Epoch 3/5, Loss: 0.4409
Client 2, Epoch 4/5, Loss: 0.6811
Client 2, Epoch 5/5, Loss: 0.5753
Client 2 Accuracy (Round 2): 0.9997
Client 3, Epoch 1/5, Loss: 11.8752
Client 3, Epoch 2/5, Loss: 10.3083
Client 3, Epoch 3/5, Loss: 8.2381
Client 3, Epoch 4/5, Loss: 5.8456
Client 3, Epoch 5/5, Loss: 5.5034
Client 3 Accuracy (Round 2): 0.9965
Global Model, Round 2, Loss: 1.8484, Accuracy: 0.39

--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 1.7792
Client 1, Epoch 2/5, Loss: 1.8828
Client 1, Epoch 3/5, Loss: 0.7310
Client 1, Epoch 4/5, Loss: 2.3969
Client 1, Epoch 5/5, Loss: 2.1239
Client 1 Accuracy (Round 3): 0.9985
Client 2, Epoch 1/5, Loss: 0.2073
Client 2, Epoch 2/5, Loss: 0.3117
Client 2, Epoch 3/5, Loss: 0.1817
Client 2, Epoch 4/5, Loss: 0.1464
Client 2, Epoch 5/5, Loss: 0.2695
Client 2 Accuracy (Round 3): 1.0000
Client 3, Epoch 1/5, Loss: 4.1206
Client 3, Epoch 2/5, Loss: 5.3538
Client 3, Epoch 3/5, Loss: 2.9626
Client 3, Epoch 4/5, Loss: 2.3784
Client 3, Epoch 5/5, Loss: 4.5938
Client 3 Accuracy (Round 3): 0.9643
Global Model, Round 3, Loss: 1.8549, Accuracy: 0.37

--- FedAvg: Round 4 ---
Client 1, Epoch 1/5, Loss: 0.8304
Client 1, Epoch 2/5, Loss: 2.0167
Client 1, Epoch 3/5, Loss: 1.4087
Client 1, Epoch 4/5, Loss: 0.6780
Client 1, Epoch 5/5, Loss: 1.0027
Client 1 Accuracy (Round 4): 0.9977
Client 2, Epoch 1/5, Loss: 0.0643
Client 2, Epoch 2/5, Loss: 0.0671
Client 2, Epoch 3/5, Loss: 0.0713
Client 2, Epoch 4/5, Loss: 0.0525
Client 2, Epoch 5/5, Loss: 0.0323
Client 2 Accuracy (Round 4): 1.0000
Client 3, Epoch 1/5, Loss: 3.1909
Client 3, Epoch 2/5, Loss: 2.3457
Client 3, Epoch 3/5, Loss: 1.6451
Client 3, Epoch 4/5, Loss: 1.5094
Client 3, Epoch 5/5, Loss: 1.3095
Client 3 Accuracy (Round 4): 0.9972
Global Model, Round 4, Loss: 1.8268, Accuracy: 0.42

--- FedAvg: Round 5 ---
