Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: FMNIST
  Distribution: IID
  Number of Clients: 5
  Rounds: 20
  Local Epochs: 5

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 1, Epoch 1/5, Loss: 240.1301
Client 1, Epoch 2/5, Loss: 139.4739
Client 1, Epoch 3/5, Loss: 111.9619
Client 1, Epoch 4/5, Loss: 92.9233
Client 1, Epoch 5/5, Loss: 81.7077
Client 1 Accuracy (Round 1): 0.9559
Client 2, Epoch 1/5, Loss: 242.9908
Client 2, Epoch 2/5, Loss: 149.2622
Client 2, Epoch 3/5, Loss: 116.7583
Client 2, Epoch 4/5, Loss: 105.0340
Client 2, Epoch 5/5, Loss: 86.3491
Client 2 Accuracy (Round 1): 0.9485
Client 3, Epoch 1/5, Loss: 249.2453
Client 3, Epoch 2/5, Loss: 145.8667
Client 3, Epoch 3/5, Loss: 117.7903
Client 3, Epoch 4/5, Loss: 100.5034
Client 3, Epoch 5/5, Loss: 87.6093
Client 3 Accuracy (Round 1): 0.9531
Client 4, Epoch 1/5, Loss: 250.9656
Client 4, Epoch 2/5, Loss: 154.7652
Client 4, Epoch 3/5, Loss: 120.2123
Client 4, Epoch 4/5, Loss: 103.4566
Client 4, Epoch 5/5, Loss: 90.4430
Client 4 Accuracy (Round 1): 0.9375
Client 5, Epoch 1/5, Loss: 250.9776
Client 5, Epoch 2/5, Loss: 153.8114
Client 5, Epoch 3/5, Loss: 123.6928
Client 5, Epoch 4/5, Loss: 102.2037
Client 5, Epoch 5/5, Loss: 92.2854
Client 5 Accuracy (Round 1): 0.9543
Global Model, Round 1, Loss: 0.4264, Accuracy: 0.86

--- FedAvg: Round 2 ---
Client 1, Epoch 1/5, Loss: 71.1383
Client 1, Epoch 2/5, Loss: 63.2056
Client 1, Epoch 3/5, Loss: 55.1434
Client 1, Epoch 4/5, Loss: 46.8412
Client 1, Epoch 5/5, Loss: 43.3571
Client 1 Accuracy (Round 2): 0.9842
Client 2, Epoch 1/5, Loss: 74.0331
Client 2, Epoch 2/5, Loss: 67.6266
Client 2, Epoch 3/5, Loss: 56.9284
Client 2, Epoch 4/5, Loss: 50.8276
Client 2, Epoch 5/5, Loss: 48.2932
Client 2 Accuracy (Round 2): 0.9760
Client 3, Epoch 1/5, Loss: 74.0021
Client 3, Epoch 2/5, Loss: 67.9836
Client 3, Epoch 3/5, Loss: 57.1750
Client 3, Epoch 4/5, Loss: 51.4752
Client 3, Epoch 5/5, Loss: 46.0587
Client 3 Accuracy (Round 2): 0.9668
Client 4, Epoch 1/5, Loss: 78.7434
Client 4, Epoch 2/5, Loss: 69.3344
Client 4, Epoch 3/5, Loss: 61.0188
Client 4, Epoch 4/5, Loss: 55.3930
Client 4, Epoch 5/5, Loss: 48.2521
Client 4 Accuracy (Round 2): 0.9792
Client 5, Epoch 1/5, Loss: 81.7636
Client 5, Epoch 2/5, Loss: 66.1731
Client 5, Epoch 3/5, Loss: 59.2895
Client 5, Epoch 4/5, Loss: 52.7138
Client 5, Epoch 5/5, Loss: 51.2248
Client 5 Accuracy (Round 2): 0.9785
Global Model, Round 2, Loss: 0.3691, Accuracy: 0.87

--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 38.3258
Client 1, Epoch 2/5, Loss: 34.1175
Client 1, Epoch 3/5, Loss: 31.8227
Client 1, Epoch 4/5, Loss: 28.3396
Client 1, Epoch 5/5, Loss: 27.0241
Client 1 Accuracy (Round 3): 0.9948
Client 2, Epoch 1/5, Loss: 42.2806
Client 2, Epoch 2/5, Loss: 37.9546
Client 2, Epoch 3/5, Loss: 32.4551
Client 2, Epoch 4/5, Loss: 27.8904
Client 2, Epoch 5/5, Loss: 27.9570
Client 2 Accuracy (Round 3): 0.9910
Client 3, Epoch 1/5, Loss: 42.3908
Client 3, Epoch 2/5, Loss: 39.6675
Client 3, Epoch 3/5, Loss: 32.5083
Client 3, Epoch 4/5, Loss: 32.3301
Client 3, Epoch 5/5, Loss: 28.2349
Client 3 Accuracy (Round 3): 0.9750
Client 4, Epoch 1/5, Loss: 43.0755
Client 4, Epoch 2/5, Loss: 41.1713
