Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: CIFAR
  Distribution: IID
  Number of Clients: 5
  Rounds: 20
  Local Epochs: 5
Files already downloaded and verified
Files already downloaded and verified

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 1, Epoch 1/5, Loss: 442.9046
Client 1, Epoch 2/5, Loss: 282.3240
Client 1, Epoch 3/5, Loss: 205.2599
Client 1, Epoch 4/5, Loss: 157.0844
Client 1, Epoch 5/5, Loss: 124.5475
Client 1 Accuracy (Round 1): 0.9234
Client 2, Epoch 1/5, Loss: 444.9354
Client 2, Epoch 2/5, Loss: 281.4649
Client 2, Epoch 3/5, Loss: 210.1306
Client 2, Epoch 4/5, Loss: 159.5217
Client 2, Epoch 5/5, Loss: 121.0050
Client 2 Accuracy (Round 1): 0.9567
Client 3, Epoch 1/5, Loss: 441.8634
Client 3, Epoch 2/5, Loss: 281.2757
Client 3, Epoch 3/5, Loss: 206.7349
Client 3, Epoch 4/5, Loss: 155.8264
Client 3, Epoch 5/5, Loss: 120.1270
Client 3 Accuracy (Round 1): 0.9145
Client 4, Epoch 1/5, Loss: 442.9474
Client 4, Epoch 2/5, Loss: 275.7504
Client 4, Epoch 3/5, Loss: 201.7055
Client 4, Epoch 4/5, Loss: 155.6572
Client 4, Epoch 5/5, Loss: 122.0507
Client 4 Accuracy (Round 1): 0.9523
Client 5, Epoch 1/5, Loss: 443.5615
Client 5, Epoch 2/5, Loss: 278.1285
Client 5, Epoch 3/5, Loss: 208.5953
Client 5, Epoch 4/5, Loss: 160.4298
Client 5, Epoch 5/5, Loss: 126.8602
Client 5 Accuracy (Round 1): 0.9429
Global Model, Round 1, Loss: 0.7341, Accuracy: 0.74

--- FedAvg: Round 2 ---
Client 1, Epoch 1/5, Loss: 96.3055
Client 1, Epoch 2/5, Loss: 76.3084
Client 1, Epoch 3/5, Loss: 57.2191
Client 1, Epoch 4/5, Loss: 47.6952
Client 1, Epoch 5/5, Loss: 42.1948
Client 1 Accuracy (Round 2): 0.9905
Client 2, Epoch 1/5, Loss: 95.0051
Client 2, Epoch 2/5, Loss: 76.1206
Client 2, Epoch 3/5, Loss: 63.6619
Client 2, Epoch 4/5, Loss: 55.6394
Client 2, Epoch 5/5, Loss: 41.5352
Client 2 Accuracy (Round 2): 0.9959
Client 3, Epoch 1/5, Loss: 91.6440
Client 3, Epoch 2/5, Loss: 78.0658
Client 3, Epoch 3/5, Loss: 62.9967
Client 3, Epoch 4/5, Loss: 54.7007
Client 3, Epoch 5/5, Loss: 42.0780
Client 3 Accuracy (Round 2): 0.9926
Client 4, Epoch 1/5, Loss: 90.1724
Client 4, Epoch 2/5, Loss: 71.4826
Client 4, Epoch 3/5, Loss: 61.8128
Client 4, Epoch 4/5, Loss: 50.3404
Client 4, Epoch 5/5, Loss: 46.6376
Client 4 Accuracy (Round 2): 0.9866
Client 5, Epoch 1/5, Loss: 99.1609
Client 5, Epoch 2/5, Loss: 74.7857
Client 5, Epoch 3/5, Loss: 63.7815
Client 5, Epoch 4/5, Loss: 55.6688
Client 5, Epoch 5/5, Loss: 45.4987
Client 5 Accuracy (Round 2): 0.9909
Global Model, Round 2, Loss: 0.7474, Accuracy: 0.77

--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 38.9197
Client 1, Epoch 2/5, Loss: 34.7709
Client 1, Epoch 3/5, Loss: 33.7422
Client 1, Epoch 4/5, Loss: 27.1391
Client 1, Epoch 5/5, Loss: 24.1060
Client 1 Accuracy (Round 3): 0.9937
Client 2, Epoch 1/5, Loss: 38.6054
Client 2, Epoch 2/5, Loss: 37.6562
Client 2, Epoch 3/5, Loss: 33.2425
Client 2, Epoch 4/5, Loss: 25.0296
Client 2, Epoch 5/5, Loss: 21.9553
Client 2 Accuracy (Round 3): 0.9988
Client 3, Epoch 1/5, Loss: 38.2282
Client 3, Epoch 2/5, Loss: 27.4078
Client 3, Epoch 3/5, Loss: 31.5925
Client 3, Epoch 4/5, Loss: 30.1599
Client 3, Epoch 5/5, Loss: 26.5541
Client 3 Accuracy (Round 3): 0.9974
Client 4, Epoch 1/5, Loss: 40.4315
Client 4, Epoch 2/5, Loss: 35.7136
Client 4, Epoch 3/5, Loss: 29.5591
Client 4, Epoch 4/5, Loss: 31.4983
Client 4, Epoch 5/5, Loss: 25.9182
Client 4 Accuracy (Round 3): 0.9972
Client 5, Epoch 1/5, Loss: 41.0095
Client 5, Epoch 2/5, Loss: 36.5614
Client 5, Epoch 3/5, Loss: 32.9644
Client 5, Epoch 4/5, Loss: 28.5675
Client 5, Epoch 5/5, Loss: 23.8432
Client 5 Accuracy (Round 3): 0.9979
Global Model, Round 3, Loss: 0.7554, Accuracy: 0.78

--- FedAvg: Round 4 ---
Client 1, Epoch 1/5, Loss: 24.6365
Client 1, Epoch 2/5, Loss: 21.0744
Client 1, Epoch 3/5, Loss: 23.7194
Client 1, Epoch 4/5, Loss: 16.2425
Client 1, Epoch 5/5, Loss: 16.5844
Client 1 Accuracy (Round 4): 0.9989
Client 2, Epoch 1/5, Loss: 18.7504
Client 2, Epoch 2/5, Loss: 19.9170
Client 2, Epoch 3/5, Loss: 18.7754
Client 2, Epoch 4/5, Loss: 19.3346
Client 2, Epoch 5/5, Loss: 16.8119
Client 2 Accuracy (Round 4): 0.9994
Client 3, Epoch 1/5, Loss: 20.9918
Client 3, Epoch 2/5, Loss: 20.7888
Client 3, Epoch 3/5, Loss: 21.1833
Client 3, Epoch 4/5, Loss: 20.5892
Client 3, Epoch 5/5, Loss: 15.9703
Client 3 Accuracy (Round 4): 0.9996
Client 4, Epoch 1/5, Loss: 22.1424
Client 4, Epoch 2/5, Loss: 17.4236
Client 4, Epoch 3/5, Loss: 16.6037
Client 4, Epoch 4/5, Loss: 14.8326
Client 4, Epoch 5/5, Loss: 13.1265
Client 4 Accuracy (Round 4): 0.9995
Client 5, Epoch 1/5, Loss: 22.1464
Client 5, Epoch 2/5, Loss: 19.9358
Client 5, Epoch 3/5, Loss: 20.5797
Client 5, Epoch 4/5, Loss: 17.3717
Client 5, Epoch 5/5, Loss: 18.2072
Client 5 Accuracy (Round 4): 0.9989
Global Model, Round 4, Loss: 0.7763, Accuracy: 0.78

--- FedAvg: Round 5 ---
Client 1, Epoch 1/5, Loss: 14.5285
Client 1, Epoch 2/5, Loss: 14.1123
Client 1, Epoch 3/5, Loss: 16.3369
Client 1, Epoch 4/5, Loss: 12.4334
Client 1, Epoch 5/5, Loss: 13.1642
Client 1 Accuracy (Round 5): 0.9997
Client 2, Epoch 1/5, Loss: 14.9541
Client 2, Epoch 2/5, Loss: 15.1519
Client 2, Epoch 3/5, Loss: 13.9642
